# ----------------------------------------
# Events: Event name
# Account: Beite.co
# Property: Privacy Trust
# ----------------------------------------
# 
# All Users
# Start date: 20220413
# End date: 20260510
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,18118,6362,2.847846589122917,0
GA Configuration,16538,5676,2.9146986253084246,0
user_engagement,11622,3238,3.6662460567823345,0
session_start,8716,6353,1.3719502597198174,0
first_visit,6386,6353,1.005194396348182,0
scroll,4619,1981,2.3351870576339735,0
generate_lead,403,196,2.056122448979592,0
form_start,379,130,2.9153846153846152,0
view_search_results,198,191,1.036649214659686,0
form_submit,146,57,2.56140350877193,0
click,129,65,1.9846153846153847,0
file_download,29,14,2.0714285714285716,0
video_start,3,2,1.5,0
video_progress,1,1,1,0
